Temperature,lx,ly,lz
100,3.58664,3.58664,3.58664
200,3.5913844,3.5913844,3.5913844
300,3.5962702,3.5962702,3.5962702
400,3.6012608,3.6012608,3.6012608
500,3.606342,3.606342,3.606342
600,3.611518,3.611518,3.611518
700,3.6168111999999994,3.6168111999999994,3.6168111999999994
800,3.6222298,3.6222298,3.6222298
900,3.6277906,3.6277906,3.6277906
1000,3.6335434,3.6335434,3.6335434
1200,3.645685199999999,3.645685199999999,3.645685199999999
1400,3.6590566,3.6590566,3.6590566
